lat,lon,d,v,s,h
48.19207,-103.00858,1,0,0,0
48.19569,-103.00858,1,0,0,0
47.02779,-100.98407,1,0,0,0
48.41588,-101.64853,1,0,0,0
47.09521,-101.96249,1,0,0,0
47.48379,-100.97688,1,0,0,0
48.27142,-102.95518,1,0,0,0
48.48483,-99.95296,1,0,0,0
48.43949,-102.90465,1,0,0,0
47.73394,-102.90759,1,0,0,0
48.25327,-102.94923,1,0,0,0
48.29312,-102.9446,1,0,0,0
48.63329,-101.17721,1,0,0,0
48.44935,-100.72523,1,0,0,0
47.95369,-102.92249,1,0,0,0
48.33296,-102.89602,1,0,0,0
48.29681,-102.8958,1,0,0,0
48.29674,-102.9599,1,0,0,0
48.27505,-102.96014,1,0,0,0
48.22724,-101.04979,1,0,0,0
48.34773,-103.06842,1,0,0,0
47.77829,-100.92688,1,0,0,0
48.2461,-102.98183,1,0,0,0
48.33669,-102.87978,1,0,0,0
48.32522,-101.53641,1,0,0,0
48.33297,-102.89058,1,0,0,0
48.33668,-102.88518,1,0,0,0
48.29673,-102.95448,1,0,0,0
48.32939,-102.89084,1,0,0,0
48.26781,-102.96016,1,0,0,0
48.38882,-103.00251,1,5,0,0
48.30036,-102.95986,1,0,0,0
48.24965,-102.94997,1,0,0,0
48.07113,-100.59106,1,0,0,0
48.44312,-102.89921,1,0,0,0
48.30037,-102.987,1,0,0,0
48.94633,-100.70591,1,0,0,0
48.50799,-102.89936,1,0,0,0
48.2678,-102.95515,1,0,0,0
48.33671,-102.86349,1,0,0,0
48.29312,-102.93918,1,0,0,0
48.30035,-102.95493,1,0,0,0
48.34386,-103.00858,1,0,0,0
48.28176,-102.93375,1,0,0,0
47.7697,-102.9066,1,0,0,0
48.35115,-102.87396,1,0,0,0
48.27868,-102.96011,1,0,0,0
48.27143,-102.96016,1,0,0,0
48.32573,-102.91765,1,0,0,0
48.37443,-102.89408,1,0,0,0
48.07975,-102.90588,1,0,0,0
48.25689,-102.9502,1,0,0,0
48.32572,-102.89699,1,0,0,0
48.27148,-102.98178,1,0,0,0
48.45037,-102.89924,1,0,0,0
48.75691,-100.08717,1,0,0,0
48.2569,-102.96009,1,0,0,0
48.2678,-102.95014,1,0,0,0
48.27867,-102.95512,1,0,0,0
48.32934,-102.91769,1,0,0,0
48.31487,-102.90132,1,0,0,0
48.43951,-102.89378,1,0,0,0
48.43586,-102.91008,1,0,0,0
47.05703,-100.93096,1,0,0,0
48.45764,-102.89928,1,0,0,0
48.3366,-102.92317,1,0,0,0
48.51205,-102.97018,1,0,0,0
48.50468,-102.88319,1,0,0,0
48.30398,-102.93918,1,0,0,0
48.31842,-102.92836,1,0,0,0
48.34754,-102.89068,1,0,0,0
48.39609,-102.8776,1,0,0,0
48.10441,-101.56371,1,0,0,0
48.37012,-102.8854,1,0,0,0
48.2714,-102.9978,1,0,0,0
48.51191,-102.90478,1,0,0,0
48.27147,-103.01413,1,0,0,0
48.93432,-100.3564,1,0,0,0
48.34385,-102.91236,1,0,0,0
48.28593,-102.97632,1,0,0,0
48.45038,-102.88842,1,0,0,0
46.96848,-102.06826,1,0,0,0
48.32208,-102.93381,1,0,0,0
48.32573,-102.91222,1,0,0,0
48.4649,-102.9211,1,0,0,0
48.29312,-102.9491,1,0,0,0
48.3076,-102.95487,1,0,0,0
48.33295,-102.92315,1,0,0,0
48.34031,-102.87976,1,0,0,0
48.35108,-102.93407,1,0,0,0
48.54456,-103.00285,1,0,0,0
48.28526,-101.34753,1,0,0,0
48.46126,-102.89394,1,0,0,0
48.16645,-102.91189,1,0,0,0
48.44684,-102.87239,1,0,0,0
48.4939,-102.91019,1,0,0,0
48.3221,-102.92303,1,0,0,0
48.51199,-102.87257,1,0,0,0
46.82063,-101.59214,1,0,0,0
48.46855,-102.88327,1,0,0,0
48.36567,-102.8908,1,0,0,0
48.31133,-102.93918,1,0,0,0
48.25328,-102.9446,1,0,0,0
48.35475,-102.89617,1,0,0,0
48.3184,-102.93922,1,0,0,0
48.28915,-103.00357,1,0,0,0
48.47947,-102.93202,1,0,0,0
48.26786,-102.98178,1,0,0,0
48.25693,-103.01956,1,0,0,0
48.37003,-102.89626,1,0,0,0
47.9903,-102.96019,1,0,0,0
48.49749,-102.87261,1,0,0,0
48.35838,-102.91245,1,0,0,0
48.34022,-102.92851,1,0,0,0
48.31843,-102.94896,1,0,0,0
48.47576,-102.90484,1,0,0,0
48.51554,-102.88849,1,0,0,0
48.51192,-102.89392,1,0,0,0
48.50828,-102.88845,1,0,0,0
48.29312,-102.93375,1,0,0,0
48.26059,-102.97094,1,0,0,0
48.27509,-102.98178,1,0,0,0
48.43224,-102.90465,1,0,0,0
48.32935,-102.91226,1,0,0,0
48.46862,-102.92654,1,0,0,0
48.27868,-102.97635,1,0,0,0
48.49742,-102.89403,1,0,0,0
