id,year,cat,lat,lon
1000001,2010,o,48.8287,-122.6855
1000002,2010,o,40.3711,-85.1981
1000003,2010,o,36.2911,-78.3919
1000005,2010,o,36.9238,-120.1015
1000007,2010,o,35.3301,-106.5275
1000010,2010,o,30.5804,-87.0621
1000015,2010,o,36.1439,-81.1633
1000016,2010,o,35.9546,-80.7211
1000017,2010,o,39.8341,-91.4368
1000019,2010,o,41.8594,-103.633
1000020,2010,o,41.8179,-78.287
1000021,2010,o,32.5436,-92.7669
1000022,2010,o,29.4286,-94.9686
1000023,2010,o,36.0099,-96.0992
1000024,2010,o,47.5518,-122.3372
1000025,2010,o,30.4758,-91.2081
1000026,2010,o,35.7602,-77.8826
1000027,2010,o,39.9478,-75.1939
1000028,2010,o,38.2937,-90.3997
1000029,2010,o,47.5693,-122.3673
1000030,2010,o,40.9135,-112.7345
1000031,2010,t,33.6819,-112.4764
1000032,2010,o,39.2811,-81.6379
1000034,2010,o,41.6263,-93.5832
1000035,2010,o,40.0811,-84.5917
1000036,2010,o,39.1346,-84.5098
1000037,2010,o,41.5514,-90.2256
1000038,2010,o,46.1367,-118.9156
1000039,2010,o,40.1247,-79.9305
1000040,2010,o,42.4249,-96.5143
1000041,2010,o,43.0614,-87.8916
1000043,2010,o,29.3745,-94.9415
1000045,2010,o,38.7509,-93.3261
1000046,2010,o,33.9541,-117.1168
1000047,2010,o,44.7383,-68.8258
1000049,2010,o,44.1212,-103.2608
1000050,2010,o,44.2862,-105.3843
1000052,2010,o,33.3451,-112.8638
1000053,2010,o,29.7037,-95.3962
1000054,2010,o,30.4387,-84.3325
1000056,2010,o,42.6432,-73.1135
1000059,2010,o,34.6831,-95.9349
1000060,2010,o,39.2038,-103.7005
1000061,2010,o,39.9414,-104.6817
1000062,2010,o,41.7,-78.48
1000063,2010,o,40.585,-98.3189
1000064,2010,o,35.4478,-119.26
1000066,2010,o,37.0748,-120.8774
1000068,2010,o,36.4178,-114.9622
1000069,2010,o,41.4486,-72.8358
1000070,2010,o,34.5953,-117.3647
1000074,2010,o,33.1261,-117.1172
1000076,2010,o,42.1727,-121.8144
1000077,2010,o,42.8017,-78.8417
