GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE
1000001.0,110000490166,2023.0,PSE Ferndale Generating Station,5105 LAKE TERRELL ROAD,FERNDALE,WA,98248,WHATCOM COUNTY,PUGET HOLDINGS LLC,Po Box 97034,Bellevue,WA,98009,100.0,221112
1000002.0,110041175000,2023.0,Ardagh Glass Inc. (Dunkirk),524 E. CENTER STREET,DUNKIRK,IN,47336,JAY COUNTY,ARDAGH GLASS INC,"10194 Crosspoint Blvd, Suite 410",Indianapolis,IN,46256,100.0,327213
1000003.0,110001482887,2023.0,Ardagh Glass Inc. (Henderson),620 Facet Road,Henderson,NC,27537,VANCE COUNTY,ARDAGH GLASS INC,10194 CROSSPOINT BLVD STE 410,Indianapolis,IN,46256,100.0,327213
1000005.0,110000482022,2023.0,Ardagh Glass Inc. (Madera),24441 AVENUE 12 & ROAD 24 1/2,MADERA,CA,93637,MADERA COUNTY,ARDAGH GLASS INC,10194 CROSSPOINT BLVD STE 410,Indianapolis,IN,46256,100.0,327213
1000007.0,110007014774,2023.0,AMERICAN GYPSUM - BERNALILLO (WALLBOARD) PLANT,1000 N HILL RD,BERNALILLO,NM,87004,SANDOVAL COUNTY,EAGLE MATERIALS INC,"5960 Berkshire Lane, Suite 900",Dallas,TX,75225,100.0,327420
1000008.0,110071159292,2023.0,"St. Lawrence Gas Co., Inc.",33 Stearns Street,Massena,NY,13662,ST. LAWRENCE COUNTY,ST LAWRENCE GAS CO,33 Stearns Street,Massena,NY,13662,100.0,221210
1000010.0,110013945437,2023.0,SANTA ROSA CENTRAL LANDFILL,6337 DELISA RD.,MILTON,FL,32583,SANTA ROSA COUNTY,SANTA ROSA BOARD OF COUNTY COMMISSIONERS,"6495 Caroline Street, Suite M",Milton,FL,32570,100.0,562212
1000011.0,110000807379,2023.0,Central Hudson Gas and Electric Corporation,284 South Avenue,Poughkeepsie,NY,12601,DUTCHESS COUNTY,CENTRAL HUDSON GAS & ELECTRIC CORP,284 South Avenue,Poughkeepsie,NY,12601,100.0,221122
1000015.0,110000492734,2023.0,"TYSON FARMS, INC.",704 FACTORY STREET,WILKESBORO,NC,28697,WILKES COUNTY,TYSON FOODS INC,2200 W Don Tyson Parkway,Springdale,AR,72762,100.0,311615
1000016.0,110001478696,2023.0,TYSON FARMS INCORPORATED HARMONY,501 SHEFFIELD ROAD,HARMONY,NC,28634,IREDELL COUNTY,TYSON FOODS INC,2200 W Don Tyson Parkway,Springdale,AR,72762,100.0,311613
1000017.0,110056953765,2023.0,BASF CORPORATION,3150 HWY JJ,PALMYRA,MO,63461,MARION COUNTY,BASF CORP,100 Campus Drive,Florham Park,NJ,07932,100.0,325320
1000019.0,110000448579,2023.0,WESTERN SUGAR COMPANY,2100 E. OVERLAND DR.,SCOTTSBLUFF,NE,69361,SCOTTS BLUFF COUNTY,THE WESTERN SUGAR COOPERATIVE,"7555 East Hampden Avenue, Suite 520",Denver,CO,80231,100.0,311313
1000020.0,110000332275,2023.0,Ardagh Glass Inc. (Port Allegany),ONE GLASS PLACE,PORT ALLEGANY,PA,16743,MCKEAN COUNTY,Ardagh Group Inc,10194 Crosspoint Blvd. Suite 410,Indianapolis,IN,46250,100.0,327213
1000021.0,110009576930,2023.0,Ardagh Glass Inc. (Ruston),4241 HIGHWAY 563,SIMSBORO,LA,71275,LINCOLN PARISH,ARDAGH GLASS INC,"10194 Crosspoint Blvd, Suite 410",Indianapolis,IN,46256,100.0,327213
1000022.0,110000619466,2023.0,ISP TECHNOLOGIES TEXAS CITY PLANT,4501 ATTWATER AVENUE,TEXAS CITY,TX,77590,GALVESTON COUNTY,ASHLAND GLOBAL HOLDINGS INC,8145 Blazer Drive,Wilmington,DE,19808,100.0,325199
1000023.0,110000454758,2023.0,Ardagh Glass Inc. (Sapulpa),1000 NORTH MISSION STREET,SAPULPA,OK,74066,CREEK COUNTY,ARDAGH GLASS INC,"10194 Crosspoint Blvd, Suite 410",Indianapolis,IN,46256,100.0,327213
1000024.0,110000489659,2023.0,Ardagh Glass Inc. (Seattle),5801 EAST MARGINAL WAY SOUTH,SEATTLE,WA,98134,KING COUNTY,ARDAGH GLASS INC,"10194 Crosspoint Blvd, Suite 410",Indianapolis,IN,46256,100.0,327213
